N_cut,g,lmin,nd_mean,pb_mean,ratio_mean,ratio_max,bound_holds
1,6,0.51,7.5600e-02,5.3672e-01,0.1398,0.3422,True
1,6,1.01,3.2340e-03,1.5568e-02,0.2029,0.5328,True
1,6,1.51,1.4011e-04,6.1629e-04,0.2222,0.5865,True
1,6,2.01,6.0589e-06,2.6146e-05,0.2265,0.5984,True
1,6,2.51,2.6187e-07,1.1255e-06,0.2275,0.6009,True
1,6,3.01,1.1322e-08,4.8599e-08,0.2278,0.6014,True
1,6,3.51,4.9502e-10,2.0998e-09,0.2317,0.6007,True
1,6,4.01,2.2726e-11,9.0738e-11,0.2432,0.6158,True
1,6,5.01,3.0740e-14,1.6945e-13,0.1785,0.5913,True
1,8,0.52,8.2936e-02,9.0966e-01,0.0843,0.1200,True
1,8,1.02,2.6609e-03,2.0135e-02,0.1320,0.1904,True
1,8,1.52,1.0861e-04,7.5282e-04,0.1468,0.2202,True
1,8,2.02,4.6398e-06,3.1560e-05,0.1502,0.2269,True
1,8,2.52,2.0003e-07,1.3553e-06,0.1509,0.2283,True
1,8,3.02,8.6370e-09,5.8490e-08,0.1510,0.2282,True
1,8,3.52,3.7762e-10,2.5269e-09,0.1539,0.2397,True
1,8,4.02,1.9757e-11,1.0919e-10,0.1995,0.3584,True
1,8,5.02,2.7519e-14,2.0390e-13,0.1373,0.1850,True
1,10,0.51,1.2618e-01,1.7098e+00,0.0772,0.1112,True
1,10,1.01,4.2453e-03,3.1770e-02,0.1404,0.2777,True
1,10,1.51,1.7326e-04,1.1483e-03,0.1597,0.3369,True
1,10,2.01,7.3981e-06,4.7811e-05,0.1641,0.3508,True
1,10,2.51,3.1891e-07,2.0502e-06,0.1650,0.3537,True
1,10,3.01,1.3772e-08,8.8454e-08,0.1652,0.3544,True
1,10,3.51,5.9678e-10,3.8212e-09,0.1658,0.3563,True
1,10,4.01,3.4801e-11,1.6512e-10,0.2215,0.3537,True
1,10,5.01,4.6565e-14,3.0834e-13,0.1611,0.3537,True
1,12,0.54,8.9381e-02,1.7874e+00,0.0403,0.0976,True
1,12,1.04,2.7297e-03,2.8269e-02,0.0834,0.2096,True
1,12,1.54,1.1094e-04,9.8918e-04,0.0989,0.2432,True
1,12,2.04,4.7352e-06,4.0909e-05,0.1025,0.2507,True
1,12,2.54,2.0407e-07,1.7518e-06,0.1032,0.2523,True
1,12,3.04,8.8198e-09,7.5558e-08,0.1035,0.2526,True
1,12,3.54,3.6957e-10,3.2638e-09,0.0995,0.2522,True
1,12,4.04,2.7742e-11,1.4103e-10,0.1830,0.3869,True
1,12,5.04,2.6221e-14,2.6336e-13,0.0869,0.2233,True
2,4,0.51,7.2532e-02,2.9178e-01,0.2044,0.2984,True
2,4,1.01,3.0266e-03,9.5716e-03,0.2934,0.3771,True
2,4,1.51,1.3010e-04,3.8887e-04,0.3237,0.4881,True
2,4,2.01,5.6165e-06,1.6585e-05,0.3309,0.5155,True
2,4,2.51,2.4265e-07,7.1474e-07,0.3324,0.5214,True
2,4,3.01,1.0486e-08,3.0869e-08,0.3328,0.5231,True
2,4,3.51,4.5285e-10,1.3338e-09,0.3335,0.5198,True
2,4,4.01,2.2881e-11,5.7638e-11,0.3910,0.5520,True
2,4,5.01,1.8351e-14,1.0763e-13,0.1994,0.4051,True
2,6,0.51,7.5863e-02,5.4162e-01,0.1388,0.3393,True
2,6,1.01,3.2341e-03,1.5569e-02,0.2029,0.5328,True
2,6,1.51,1.4011e-04,6.1629e-04,0.2222,0.5865,True
2,6,2.01,6.0589e-06,2.6146e-05,0.2265,0.5984,True
2,6,2.51,2.6187e-07,1.1255e-06,0.2275,0.6009,True
2,6,3.01,1.1322e-08,4.8599e-08,0.2278,0.6014,True
2,6,3.51,4.9502e-10,2.0998e-09,0.2317,0.6007,True
2,6,4.01,2.2726e-11,9.0738e-11,0.2432,0.6158,True
2,6,5.01,3.0740e-14,1.6945e-13,0.1785,0.5913,True
2,8,0.52,8.2841e-02,9.1602e-01,0.0837,0.1195,True
2,8,1.02,2.6608e-03,2.0136e-02,0.1320,0.1903,True
2,8,1.52,1.0861e-04,7.5282e-04,0.1468,0.2202,True
2,8,2.02,4.6398e-06,3.1560e-05,0.1502,0.2269,True
2,8,2.52,2.0003e-07,1.3553e-06,0.1509,0.2283,True
2,8,3.02,8.6370e-09,5.8490e-08,0.1510,0.2282,True
2,8,3.52,3.7762e-10,2.5269e-09,0.1539,0.2397,True
2,8,4.02,1.9757e-11,1.0919e-10,0.1995,0.3584,True
2,8,5.02,2.7519e-14,2.0390e-13,0.1373,0.1850,True

è„äEê¨óß: 63/63
ratioç≈ëÂ: 0.6158
